<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10424	1.10443	1.10341	1.10349	4438	0	2
2024.01.02	04:00:00	1.10350	1.10360	1.10165	1.10334	5889	0	2
2024.01.02	08:00:00	1.10336	1.10388	1.10106	1.10152	13826	0	2
2024.01.02	12:00:00	1.10151	1.10171	1.09494	1.09527	18275	0	2
2024.01.02	16:00:00	1.09527	1.09683	1.09408	1.09506	22154	0	2
2024.01.02	20:00:00	1.09505	1.09559	1.09383	1.09413	8609	0	2
2024.01.03	00:00:00	1.09423	1.09548	1.09381	1.09513	4275	0	2
2024.01.03	04:00:00	1.09513	1.09627	1.09486	1.09513	4959	0	2
2024.01.03	08:00:00	1.09512	1.09654	1.09347	1.09364	13729	0	2
2024.01.03	12:00:00	1.09362	1.09390	1.09100	1.09216	17309	0	2
2024.01.03	16:00:00	1.09217	1.09387	1.08980	1.09066	25836	0	2
2024.01.03	20:00:00	1.09065	1.09256	1.08929	1.09196	17269	0	2
2024.01.04	00:00:00	1.09163	1.09274	1.09140	1.09178	4820	0	2
2024.01.04	04:00:00	1.09178	1.09306	1.09158	1.09266	5978	0	2
2024.01.04	08:00:00	1.09265	1.09691	1.09208	1.09674	16898	0	2
2024.01.04	12:00:00	1.09674	1.09721	1.09328	1.09472	16600	0	2
2024.01.04	16:00:00	1.09471	1.09653	1.09381	1.09505	21768	0	2
2024.01.04	20:00:00	1.09504	1.09544	1.09430	1.09478	8021	0	2
2024.01.05	00:00:00	1.09442	1.09559	1.09420	1.09514	5888	0	2
2024.01.05	04:00:00	1.09515	1.09542	1.09340	1.09374	5708	0	2
2024.01.05	08:00:00	1.09374	1.09374	1.09028	1.09125	13909	0	2
2024.01.05	12:00:00	1.09127	1.09278	1.08765	1.09210	18319	0	2
2024.01.05	16:00:00	1.09210	1.09984	1.09210	1.09463	33341	0	2
2024.01.05	20:00:00	1.09462	1.09596	1.09353	1.09409	11937	0	2
2024.01.08	00:00:00	1.09411	1.09531	1.09348	1.09480	4084	0	2
2024.01.08	04:00:00	1.09479	1.09479	1.09306	1.09374	5746	0	2
2024.01.08	08:00:00	1.09374	1.09522	1.09224	1.09371	14197	0	2
2024.01.08	12:00:00	1.09382	1.09562	1.09343	1.09507	15792	0	2
2024.01.08	16:00:00	1.09507	1.09789	1.09494	1.09646	19451	0	2
2024.01.08	20:00:00	1.09645	1.09658	1.09488	1.09508	7876	0	2
2024.01.09	00:00:00	1.09501	1.09618	1.09483	1.09614	5873	0	2
2024.01.09	04:00:00	1.09615	1.09662	1.09481	1.09496	5519	0	2
2024.01.09	08:00:00	1.09496	1.09628	1.09378	1.09440	13317	0	2
