datetime,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,ema_50,ema_100,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_mid,bb_bandwidth,stoch_k,stoch_d,atr
2024-01-02 00:00:00,1.10424,1.10443,1.10341,1.10349,4438,,,,,,,,,,,,,,0.0
2024-01-02 04:00:00,1.1035,1.1036,1.10165,1.10334,5889,,,,,,,,,,,,,,0.0
2024-01-02 08:00:00,1.10336,1.10388,1.10106,1.10152,13826,,,,,,,,,,,,,,0.0
2024-01-02 12:00:00,1.10151,1.10171,1.09494,1.09527,18275,,,,,,,,,,,,,,0.0
2024-01-02 16:00:00,1.09527,1.09683,1.09408,1.09506,22154,,,,,,,,,,,,,,0.0
2024-01-02 20:00:00,1.09505,1.09559,1.09383,1.09413,8609,,,,,,,,,,,,,,0.0
2024-01-03 00:00:00,1.09423,1.09548,1.09381,1.09513,4275,,,,,,,,,,,,,,0.0
2024-01-03 04:00:00,1.09513,1.09627,1.09486,1.09513,4959,,,,,,,,,,,,,,0.0
2024-01-03 08:00:00,1.09512,1.09654,1.09347,1.09364,13729,,,,,,,,,,,,,,0.0
2024-01-03 12:00:00,1.09362,1.0939,1.091,1.09216,17309,,,,,,,,,,,,,,0.0
2024-01-03 16:00:00,1.09217,1.09387,1.0898,1.09066,25836,,,,,,,,,,,,,,0.0
2024-01-03 20:00:00,1.09065,1.09256,1.08929,1.09196,17269,,,,,,,,,,,,,,0.0
2024-01-04 00:00:00,1.09163,1.09274,1.0914,1.09178,4820,,,,,,,,,,,,,,0.0
2024-01-04 04:00:00,1.09178,1.09306,1.09158,1.09266,5978,,,,24.582823035677706,,,,,,,,22.258916776749594,,0.002591428571428578
2024-01-04 08:00:00,1.09265,1.09691,1.09208,1.09674,16898,,,,46.74103377236706,,,,,,,,51.0623714873202,,0.0027513265306122587
2024-01-04 12:00:00,1.09674,1.09721,1.09328,1.09472,16600,,,,40.41057308826788,,,,,,,,37.21727210418004,36.84618678941661,0.002835517492711382
2024-01-04 16:00:00,1.09471,1.09653,1.09381,1.09505,21768,,,,41.79741366512603,,,,,,,,46.37681159420326,44.88548506190117,0.002827266243232002
2024-01-04 20:00:00,1.09504,1.09544,1.0943,1.09478,8021,,,,40.957517753797056,,,,,,,,69.3181818181824,50.97075517218857,0.002706747225858282
2024-01-05 00:00:00,1.09442,1.09559,1.0942,1.09514,5888,,,,42.61332782070316,,,,,,,,73.86363636363592,63.18620992534053,0.0026126938525826908
2024-01-05 04:00:00,1.09515,1.09542,1.0934,1.09374,5708,,,,38.134409383955784,,,,1.1022584638850002,1.0883515361149998,1.095305,1.2696854090869991,56.18686868686722,66.45622895622851,0.002570358577398222
